"GeneName","module_name","kTotal","kWithin","kOut","kDiff","is.hub","ME","MM","Mitocarta","Interactome","in_enriched_module_mitocarta","cor_with_gtex","in_MD_genelist","pathogenic"
"TMEM176A","yellow",43.4287004345406,7.81114474353624,35.6175556910044,-27.8064109474681,FALSE,-0.59558605306099,0.862531502132188,FALSE,FALSE,0,0.200977488130837,FALSE,"unlabelled"
"FAM214B","yellow",44.8231770136741,5.121925452516,39.7012515611581,-34.5793261086421,FALSE,0.491858681733857,0.79567757947785,FALSE,FALSE,0,0.175082276032271,FALSE,"unlabelled"
"MATK","yellow",81.4664738493051,17.5919301961071,63.8745436531981,-46.282613457091,FALSE,-0.697571969735882,0.425967765293252,FALSE,FALSE,0,0.173162131349525,FALSE,"unlabelled"
"CAMK1G","yellow",36.7690301083799,7.61991203394183,29.149118074438,-21.5292060404962,FALSE,0.572507175986773,0.0908251616532804,FALSE,FALSE,0,0.155367139137348,FALSE,"unlabelled"
"TTC19","yellow",30.9149671696897,4.4413443830098,26.4736227866799,-22.0322784036701,FALSE,-0.456769308566957,0.499089916929627,TRUE,FALSE,0,0.199090630743774,TRUE,"1"
"CAPN1","yellow",216.363678375053,42.9335273453735,173.430151029679,-130.496623684306,FALSE,0.92412049079429,0.478550817442117,FALSE,FALSE,0,0.177407728824912,FALSE,"unlabelled"
"XYLT2","yellow",52.3749535452435,11.4305604148609,40.9443931303826,-29.5138327155217,FALSE,0.717318526438799,0.151830959114911,FALSE,FALSE,0,0.197112696233435,FALSE,"unlabelled"
"OSBPL5","yellow",45.6082572352806,7.0357085843088,38.5725486509718,-31.536840066663,FALSE,0.616705964591021,0.785944250147272,FALSE,FALSE,0,0.202704810398308,FALSE,"unlabelled"
"BIRC3","yellow",81.3912765435509,10.1863506144427,71.2049259291082,-61.0185753146655,FALSE,-0.599936323876849,0.251965299302873,FALSE,FALSE,0,0.151668774133939,FALSE,"unlabelled"
"SNAPC1","yellow",61.3513145243087,11.6117598029888,49.7395547213199,-38.1277949183311,FALSE,-0.685714612593647,0.255388542167769,FALSE,FALSE,0,0.196395415586734,FALSE,"unlabelled"
"RRAGD","yellow",73.8227762945342,18.5959551366799,55.2268211578543,-36.6308660211745,FALSE,-0.755878382640376,0.913593353432843,FALSE,FALSE,0,0.211368733389487,FALSE,"unlabelled"
"CNTLN","yellow",48.7166688748561,6.11221645024508,42.6044524246111,-36.492235974366,FALSE,-0.508475509590349,0.731518235241023,FALSE,FALSE,0,0.165785828109425,FALSE,"unlabelled"
"PREX2","yellow",60.4021378018586,11.8590222584718,48.5431155433868,-36.6840932849149,FALSE,-0.620422480642319,0.241012108438879,FALSE,FALSE,0,0.192339515956805,FALSE,"unlabelled"
"HDAC9","yellow",66.4793112285669,12.1065099206448,54.3728013079221,-42.2662913872772,FALSE,0.631367899283013,0.611922539912568,FALSE,FALSE,0,0.192624504846871,FALSE,"unlabelled"
"CC2D2A","yellow",96.4208450623994,23.5570857135402,72.8637593488592,-49.3066736353191,FALSE,0.799106857659709,0.417248532706706,FALSE,FALSE,0,0.193339644490981,FALSE,"unlabelled"
"ADAMTS6","yellow",97.0451925805555,16.058259274958,80.9869333055975,-64.9286740306394,FALSE,-0.673504733251688,0.932206512926259,FALSE,FALSE,0,0.176387617341071,FALSE,"unlabelled"
"LAMC3","yellow",60.7657925076818,14.5037386304972,46.2620538771846,-31.7583152466874,FALSE,-0.596716295836202,0.814034246536446,FALSE,FALSE,0,0.184164540252363,FALSE,"unlabelled"
"LY75","yellow",53.181258798797,10.7895088753271,42.3917499234699,-31.6022410481428,FALSE,-0.706036700670035,0.250473427890179,FALSE,FALSE,0,0.183959093616398,FALSE,"unlabelled"
"SDCCAG8","yellow",73.5163746662925,18.4223064545519,55.0940682117406,-36.6717617571887,FALSE,0.752452270936855,0.569651995771611,FALSE,FALSE,0,0.178485615534403,FALSE,"unlabelled"
"USP36","yellow",87.3582503633838,21.2159803171385,66.1422700462453,-44.9262897291068,FALSE,-0.799257506899399,0.804189834200276,FALSE,FALSE,0,0.20839985750885,FALSE,"unlabelled"
"CCDC85A","yellow",34.2925120375623,6.92924063558794,27.3632714019743,-20.4340307663864,FALSE,0.595200026231732,0.607626730337445,FALSE,FALSE,0,0.165208109363047,FALSE,"unlabelled"
"FLYWCH1","yellow",69.4731948175811,16.9197266808985,52.5534681366826,-35.6337414557841,FALSE,0.701765584329107,0.491357775067963,FALSE,FALSE,0,0.178392557023687,FALSE,"unlabelled"
"DGAT2","yellow",50.1075085408112,7.22585513066899,42.8816534101422,-35.6557982794732,FALSE,0.528259673105805,0.72538816304376,FALSE,FALSE,0,0.189549124108049,FALSE,"unlabelled"
"WISP2","yellow",63.6988854048878,13.45530523842,50.2435801664677,-36.7882749280477,FALSE,-0.602237690294576,0.130843662317178,FALSE,FALSE,0,0.181425921284912,FALSE,"unlabelled"
"SNX24","yellow",29.4463169537177,2.85161988437361,26.5946970693441,-23.7430771849705,FALSE,-0.395831361103158,0.221599373948555,FALSE,FALSE,0,0.201949825918574,FALSE,"unlabelled"
"ANKS1A","yellow",230.908670660649,21.3667223521539,209.541948308495,-188.175225956341,FALSE,0.715728139469719,0.246493244585799,FALSE,FALSE,0,0.171209119518652,FALSE,"unlabelled"
"IPO5","yellow",34.2447360208941,6.55052900913215,27.6942070117619,-21.1436780026298,FALSE,-0.609598118700323,0.948984386924458,FALSE,FALSE,0,0.184907204177262,FALSE,"unlabelled"
"DGKA","yellow",356.79206423014,30.5285212089814,326.263543021159,-295.735021812177,FALSE,0.751802203118947,0.651741896681457,FALSE,FALSE,0,0.203676652663059,FALSE,"unlabelled"
"THUMPD1","yellow",234.944832325212,25.66732433715,209.277507988062,-183.610183650912,FALSE,-0.806201195273985,0.751620917102944,FALSE,FALSE,0,0.194997605302081,FALSE,"unlabelled"
"TRO","yellow",50.3550483781665,7.15343274933965,43.2016156288269,-36.0481828794872,FALSE,0.613110596409865,0.278870247141133,FALSE,FALSE,0,0.180208977366829,FALSE,"unlabelled"
"RRP15","yellow",239.968874261181,36.692137924505,203.276736336676,-166.584598412171,FALSE,-0.829988548613351,0.22357860480372,FALSE,FALSE,0,0.186015670814353,FALSE,"unlabelled"
"CSNK2A2","yellow",70.5704593806353,17.7805296767096,52.7899297039257,-35.0094000272161,FALSE,-0.811843507904623,0.113030811062427,FALSE,FALSE,0,0.194233336695463,FALSE,"unlabelled"
"WDR1","yellow",48.8034144388027,6.6633512369333,42.1400632018694,-35.4767119649361,FALSE,0.553763833884242,0.362880539647572,FALSE,FALSE,0,0.174902287673894,FALSE,"unlabelled"
"SPEG","yellow",56.3537643884532,14.8951019648272,41.458662423626,-26.5635604587989,FALSE,0.686047375018214,0.977501543551608,FALSE,FALSE,0,0.200519745066301,FALSE,"unlabelled"
"SCARB1","yellow",36.252504109377,7.79839364855844,28.4541104608186,-20.6557168122601,FALSE,0.586334691739098,0.80840044878882,FALSE,FALSE,0,0.194021140595256,FALSE,"unlabelled"
"NLE1","yellow",139.913840488526,38.9535084353415,100.960332053184,-62.006823617843,FALSE,-0.897053870048238,0.910679898251956,FALSE,FALSE,0,0.170201027644263,FALSE,"unlabelled"
"NOTCH3","yellow",59.3970118178547,11.5869647355538,47.8100470823008,-36.223082346747,FALSE,0.689145578198045,0.63869651985505,FALSE,FALSE,0,0.164843057705903,FALSE,"unlabelled"
"PPP2R2C","yellow",32.3997199251451,4.17010170921323,28.2296182159319,-24.0595165067187,FALSE,0.491252077765455,0.707778773890655,FALSE,FALSE,0,0.191858656542394,FALSE,"unlabelled"
"KIFAP3","yellow",262.717695233036,15.6729043677339,247.044790865303,-231.371886497569,FALSE,0.606680876730441,0.609199645504558,FALSE,FALSE,0,0.182331483121002,FALSE,"unlabelled"
"SLC46A1","yellow",73.6610359189969,17.7331172198774,55.9279186991196,-38.1948014792422,FALSE,0.77463011154567,0.532121131288966,FALSE,FALSE,0,0.178499219648087,FALSE,"unlabelled"
"MCAM","yellow",90.846519943206,19.8473000909082,70.9992198522978,-51.1519197613896,FALSE,0.651036688015962,0.291677856375176,FALSE,FALSE,0,0.149525289404861,FALSE,"unlabelled"
"PAK3","yellow",36.4019152021449,3.76424923355196,32.6376659685929,-28.873416735041,FALSE,0.392025196235875,0.497463072714591,FALSE,FALSE,0,0.176433680585111,FALSE,"unlabelled"
"AMPH","yellow",34.2992242646949,5.27335998428168,29.0258642804132,-23.7525042961316,FALSE,0.516970704310448,0.77740450490814,FALSE,FALSE,0,0.190138869063344,FALSE,"unlabelled"
"THOC1","yellow",88.9881446005516,23.8400885047657,65.148056095786,-41.3079675910203,FALSE,-0.728280280698494,0.0947845259923078,FALSE,FALSE,0,0.181467998641503,FALSE,"unlabelled"
"MOK","yellow",27.072799315627,2.76387896006274,24.3089203555642,-21.5450413955015,FALSE,0.422619348792103,0.761588180741595,FALSE,FALSE,0,0.171095927978128,FALSE,"unlabelled"
